Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Wed,09/03/2016,1759,1829,S3,Kfc T20 International:South Africa vs Au,Spor,4.1,1386123,17.7
Mon,28/03/2016,1601,1829,S3,Icc World Twenty20:South Africa vs Sri L,Spor,4.1,1381944,21.7
Fri,25/03/2016,1601,1829,S3,Icc World Twenty20:South Africa vs West,Spor,4,1344526,22.4
Tue,22/03/2016,1900,1928,S3,Isidingo:the Need,Soap,3.5,1174543,10.2
Tue,08/03/2016,1700,1754,S3,Days of Our Lives,Soap,3.4,1140786,18.7
Fri,18/03/2016,1540,1829,S3,Icc World Twenty20:SA vs England,Spor,3.2,1081341,19.5
Wed,09/03/2016,1730,1759,S3,Cricket Build up,Spor,3.2,1066167,15.9
Mon,21/03/2016,1559,1829,S3,Icc World Twenty20:Australia vs Banglade,Spor,2.7,916010,14.7
Thur,17/03/2016,1603,1829,S3,Icc World Twenty20:Sri Lanka vs Afghanis,Spor,2.6,886096,14.5
Mon,28/03/2016,1844,1919,S3,Icc Cricket World Cup South Africa vs Sr,Spor,2.4,820112,7.4
Fri,25/03/2016,1830,1840,S3,News,News,2.4,808761,9.3
Wed,23/03/2016,1929,2000,S3,High Rollers,Dram,2.4,802640,7
Wed,30/03/2016,1529,1829,S3,Icc World Twenty20:England vs New Zeal,nSpor,2.3,776531,13.5
Sat,19/03/2016,1931,2133,S3,D2 the Mighty Ducks,Movi,2.2,733793,8.7
Mon,28/03/2016,2100,2218,S3,Survivor:Blood vs Water,Real,2.1,720449,8.2
Fri,11/03/2016,1609,1711,S3,Afternoon Express,Maga,2.1,697936,14.3
Sat,26/03/2016,1931,2134,S3,The Sixth Man,Movi,2,681401,8.6
Tue,15/03/2016,1600,1829,S3,Icc World Twenty20:India vs New Zealand,Spor,2,667541,12.3
Tue,08/03/2016,2100,2153,S3,Nikita,Dram,1.9,653572,7.4
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
"",25/03/2016,2011,2041,SENC,Vetkoek Paleis,Sitc,0.3,84077,0.8
Sat,26/03/2016,2133,2201,SENC,Tlharantlhope,Dram,0.2,81427,1.3
Mon,14/03/2016,1700,1726,SENC,Soul Buddyz,Yent,0.2,70927,1.3
Sat,26/03/2016,2103,2131,SENC,Sephiri SA Bontlenyane,Vari,0.2,64999,0.9
Sun,20/03/2016,2000,2030,SENC,Linempoxo Ke Isiko,Vari,0.2,63735,0.7
Wed,23/03/2016,2142,2210,SENC,Raletsohwana,Vari,0.2,56205,0.8
Fri,25/03/2016,1929,2011,SENC,Bosveldwinkel,Dram,0.1,50251,0.5
Thur,10/03/2016,2059,2129,SENC,Cul De Sac (Drama),Dram,0.1,44180,0.5
Fri,18/03/2016,2039,2106,SENC,Suburban Bliss,Sitc,0.1,40215,0.4
Fri,18/03/2016,2106,2134,SENC,Going up,Sitc,0.1,34227,0.4
Thur,10/03/2016,2129,2159,SENC,Glaskasteel,Dram,0.1,33105,0.5
Sun,06/03/2016,2101,2131,SENC,Ifa La Kwa Mthethwa,Dram,0.1,32539,0.4
Sun,20/03/2016,2129,2159,SENC,Monna Wa Diatla Di Lole,Dram,0.1,30890,0.5
Wed,09/03/2016,2159,2259,SENC,50/50,Docu,0.1,27806,0.7
Mon,07/03/2016,1959,2053,SENC,Agter Elke Man,Dram,0.1,27475,0.3
Wed,23/03/2016,2113,2142,SENC,Daar's Water,Sitc,0.1,26540,0.3
Thur,17/03/2016,1730,1800,SENC,Zingela Esitolo,Vari,0.1,25186,0.4
Wed,09/03/2016,1959,2057,SENC,The Syndicate,Vari,0.1,24864,0.2
Fri,04/03/2016,2129,2159,SENC,37 Honey Street,Vari,0.1,24153,0.3
Mon,14/03/2016,2100,2130,SENC,U'deliwe,Dram,0.1,24152,0.2
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Wed,30/03/2016,1650,1715,TLC,Cake Boss,Docu,0.3,100748,1.9
Sat,12/03/2016,2056,2149,TLC,Body Bizarre,Docu,0.3,94561,1.2
Sun,06/03/2016,2058,2147,TLC,Oprah Where Are They Now,Maga,0.3,84162,1.1
Sun,27/03/2016,2152,2245,TLC,Too Ugly for Love,Real,0.2,82345,1.5
Sat,05/03/2016,2151,2245,TLC,Age Gap Love,Real,0.2,79772,1.7
Sun,13/03/2016,1620,1712,TLC,90 Days to Wed,Real,0.2,75956,1.2
Thur,24/03/2016,2152,2245,TLC,Sex Sent Me to the Er,Maga,0.2,74708,1.2
Wed,30/03/2016,2056,2149,TLC,Our Little Family,Real,0.2,72122,0.7
Wed,23/03/2016,2152,2245,TLC,My Trip From Hell,Real,0.2,62750,1.2
Thur,03/03/2016,2057,2150,TLC,Married by Mum & Dad,Real,0.2,61781,0.7
Fri,04/03/2016,2151,2245,TLC,Last Chance Salon,Maga,0.2,61925,1.2
Tue,22/03/2016,2124,2150,TLC,Strange Love,Maga,0.2,60501,0.7
